Publication,Type,Method,Period,Revenue,Subscribers,Subscriptions,ARPU,Cancelations,Reason,Voluntary Churn,Involuntary Churn
BL,Individual,Print,2024-10-21,1098,1904,3808,0.5766806722689075,190,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1340,1488,8928,0.9005376344086021,148,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1412,2308,13848,0.6117850953206239,230,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1168,2168,15176,0.5387453874538746,216,Expired CC,Yes,No
All,All,All,2024-10-17,1218,1112,1112,1.0953237410071943,111,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1083,2868,28680,0.3776150627615063,286,Expired CC,No,Yes
All,All,All,2024-10-19,1153,2034,2034,0.5668633235004916,203,Deaseaed,Yes,No
All,All,All,2024-10-20,1000,2777,2777,0.3601008282319049,277,Expired CC,Yes,Yes
All,All,All,2024-10-21,1098,1904,3808,0.5766806722689075,190,Deaseaed,No,Yes
All,All,All,2024-10-22,1340,1488,8928,0.9005376344086021,148,Expired CC,Yes,No
All,All,All,2024-10-23,1412,2308,13848,0.6117850953206239,230,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1356,2969,8907,0.45671943415291344,296,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1406,940,7520,1.495744680851064,94,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1438,503,1509,2.8588469184890655,50,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1240,2847,2847,0.4355461889708465,284,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1451,1814,1814,0.7998897464167586,181,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1333,817,6536,1.631578947368421,81,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1021,2849,19943,0.35837135837135836,284,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1478,336,2016,4.398809523809524,33,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1356,2969,8907,0.45671943415291344,296,Expired CC,Yes,No
All,All,All,2024-10-17,1406,940,7520,1.495744680851064,94,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1438,503,1509,2.8588469184890655,50,Expired CC,No,Yes
All,All,All,2024-10-19,1240,2847,2847,0.4355461889708465,284,Deaseaed,Yes,No
All,All,All,2024-10-20,1451,1814,1814,0.7998897464167586,181,Expired CC,Yes,Yes
All,All,All,2024-10-21,1333,817,6536,1.631578947368421,81,Deaseaed,No,Yes
All,All,All,2024-10-22,1021,2849,19943,0.35837135837135836,284,Expired CC,Yes,No
All,All,All,2024-10-23,1478,336,2016,4.398809523809524,33,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1367,105,945,13.019047619047619,10,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1013,2344,18752,0.43216723549488056,234,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1210,2170,17360,0.5576036866359447,217,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1276,2411,4822,0.5292409788469514,241,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1080,1944,1944,0.5555555555555556,194,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1165,1258,5032,0.9260731319554849,125,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1367,233,932,5.866952789699571,23,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1479,307,307,4.817589576547231,30,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1367,105,945,13.019047619047619,10,Expired CC,Yes,No
All,All,All,2024-10-17,1013,2344,18752,0.43216723549488056,234,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1210,2170,17360,0.5576036866359447,217,Expired CC,No,Yes
All,All,All,2024-10-19,1276,2411,4822,0.5292409788469514,241,Deaseaed,Yes,No
All,All,All,2024-10-20,1080,1944,1944,0.5555555555555556,194,Expired CC,Yes,Yes
All,All,All,2024-10-21,1165,1258,5032,0.9260731319554849,125,Deaseaed,No,Yes
All,All,All,2024-10-22,1367,233,932,5.866952789699571,23,Expired CC,Yes,No
All,All,All,2024-10-23,1479,307,307,4.817589576547231,30,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1129,2506,22554,0.45051875498802874,250,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1355,154,1386,8.7987012987013,15,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1429,514,5140,2.780155642023346,51,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1268,2343,18744,0.541186513017499,234,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1091,2117,4234,0.5153519130845536,211,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1273,2327,16289,0.5470562956596476,232,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1370,2592,10368,0.5285493827160493,259,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1324,435,870,3.0436781609195402,43,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1129,2506,22554,0.45051875498802874,250,Expired CC,Yes,No
All,All,All,2024-10-17,1355,154,1386,8.7987012987013,15,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1429,514,5140,2.780155642023346,51,Expired CC,No,Yes
All,All,All,2024-10-19,1268,2343,18744,0.541186513017499,234,Deaseaed,Yes,No
All,All,All,2024-10-20,1091,2117,4234,0.5153519130845536,211,Expired CC,Yes,Yes
All,All,All,2024-10-21,1273,2327,16289,0.5470562956596476,232,Deaseaed,No,Yes
All,All,All,2024-10-22,1370,2592,10368,0.5285493827160493,259,Expired CC,Yes,No
All,All,All,2024-10-23,1324,435,870,3.0436781609195402,43,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1162,1881,7524,0.6177565124933546,188,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1017,2156,12936,0.4717068645640074,215,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1321,1007,5035,1.3118172790466733,100,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1183,2877,17262,0.41119221411192214,287,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1393,863,4315,1.6141367323290845,86,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1120,2238,20142,0.5004468275245755,223,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1076,799,3995,1.346683354192741,79,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1279,564,5076,2.267730496453901,56,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1162,1881,7524,0.6177565124933546,188,Expired CC,Yes,No
All,All,All,2024-10-17,1017,2156,12936,0.4717068645640074,215,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1321,1007,5035,1.3118172790466733,100,Expired CC,No,Yes
All,All,All,2024-10-19,1183,2877,17262,0.41119221411192214,287,Deaseaed,Yes,No
All,All,All,2024-10-20,1393,863,4315,1.6141367323290845,86,Expired CC,Yes,Yes
All,All,All,2024-10-21,1120,2238,20142,0.5004468275245755,223,Deaseaed,No,Yes
All,All,All,2024-10-22,1076,799,3995,1.346683354192741,79,Expired CC,Yes,No
All,All,All,2024-10-23,1279,564,5076,2.267730496453901,56,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1115,2868,8604,0.3887726638772664,286,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1453,2554,5108,0.5689115113547377,255,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1105,1308,2616,0.8448012232415902,130,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1190,1786,7144,0.6662933930571109,178,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1206,2687,21496,0.44882768887234836,268,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1061,604,604,1.7566225165562914,60,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1269,2541,12705,0.49940968122786306,254,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1309,191,955,6.853403141361256,19,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1115,2868,8604,0.3887726638772664,286,Expired CC,Yes,No
All,All,All,2024-10-17,1453,2554,5108,0.5689115113547377,255,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1105,1308,2616,0.8448012232415902,130,Expired CC,No,Yes
All,All,All,2024-10-19,1190,1786,7144,0.6662933930571109,178,Deaseaed,Yes,No
All,All,All,2024-10-20,1206,2687,21496,0.44882768887234836,268,Expired CC,Yes,Yes
All,All,All,2024-10-21,1061,604,604,1.7566225165562914,60,Deaseaed,No,Yes
All,All,All,2024-10-22,1269,2541,12705,0.49940968122786306,254,Expired CC,Yes,No
All,All,All,2024-10-23,1309,191,955,6.853403141361256,19,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1279,1996,9980,0.6407815631262525,199,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1359,2822,19754,0.48157335223245923,282,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1044,2018,14126,0.5173439048562933,201,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1080,1233,6165,0.8759124087591241,123,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1370,1632,11424,0.8394607843137255,163,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1130,2771,11084,0.4077950198484302,277,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1360,1391,5564,0.9777138749101366,139,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1376,1463,4389,0.9405331510594669,146,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1279,1996,9980,0.6407815631262525,199,Expired CC,Yes,No
All,All,All,2024-10-17,1359,2822,19754,0.48157335223245923,282,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1044,2018,14126,0.5173439048562933,201,Expired CC,No,Yes
All,All,All,2024-10-19,1080,1233,6165,0.8759124087591241,123,Deaseaed,Yes,No
All,All,All,2024-10-20,1370,1632,11424,0.8394607843137255,163,Expired CC,Yes,Yes
All,All,All,2024-10-21,1130,2771,11084,0.4077950198484302,277,Deaseaed,No,Yes
All,All,All,2024-10-22,1360,1391,5564,0.9777138749101366,139,Expired CC,Yes,No
All,All,All,2024-10-23,1376,1463,4389,0.9405331510594669,146,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1210,1219,12190,0.992616899097621,121,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1324,1316,9212,1.006079027355623,131,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1290,2365,18920,0.5454545454545454,236,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1227,1743,13944,0.7039586919104991,174,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1223,1312,13120,0.9321646341463414,131,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1010,1448,8688,0.6975138121546961,144,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1199,891,891,1.345679012345679,89,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1385,205,1845,6.7560975609756095,20,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1210,1219,12190,0.992616899097621,121,Expired CC,Yes,No
All,All,All,2024-10-17,1324,1316,9212,1.006079027355623,131,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1290,2365,18920,0.5454545454545454,236,Expired CC,No,Yes
All,All,All,2024-10-19,1227,1743,13944,0.7039586919104991,174,Deaseaed,Yes,No
All,All,All,2024-10-20,1223,1312,13120,0.9321646341463414,131,Expired CC,Yes,Yes
All,All,All,2024-10-21,1010,1448,8688,0.6975138121546961,144,Deaseaed,No,Yes
All,All,All,2024-10-22,1199,891,891,1.345679012345679,89,Expired CC,Yes,No
All,All,All,2024-10-23,1385,205,1845,6.7560975609756095,20,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1326,1689,13512,0.7850799289520426,168,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1379,371,3710,3.7169811320754715,37,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1042,847,4235,1.230224321133412,84,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1329,2295,22950,0.5790849673202615,229,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1457,677,1354,2.152141802067947,67,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1179,535,2675,2.203738317757009,53,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1111,2079,4158,0.5343915343915344,207,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1037,687,2061,1.509461426491994,68,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1326,1689,13512,0.7850799289520426,168,Expired CC,Yes,No
All,All,All,2024-10-17,1379,371,3710,3.7169811320754715,37,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1042,847,4235,1.230224321133412,84,Expired CC,No,Yes
All,All,All,2024-10-19,1329,2295,22950,0.5790849673202615,229,Deaseaed,Yes,No
All,All,All,2024-10-20,1457,677,1354,2.152141802067947,67,Expired CC,Yes,Yes
All,All,All,2024-10-21,1179,535,2675,2.203738317757009,53,Deaseaed,No,Yes
All,All,All,2024-10-22,1111,2079,4158,0.5343915343915344,207,Expired CC,Yes,No
All,All,All,2024-10-23,1037,687,2061,1.509461426491994,68,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1390,2998,5996,0.46364242828552366,299,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1059,2271,18168,0.4663143989431968,227,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1282,2842,28420,0.4510907811400422,284,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1194,1898,11388,0.6290832455216017,189,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1162,2055,4110,0.5654501216545013,205,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1049,725,2175,1.446896551724138,72,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1056,321,1284,3.289719626168224,32,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1374,2992,5984,0.4592245989304813,299,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1390,2998,5996,0.46364242828552366,299,Expired CC,Yes,No
All,All,All,2024-10-17,1059,2271,18168,0.4663143989431968,227,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1282,2842,28420,0.4510907811400422,284,Expired CC,No,Yes
All,All,All,2024-10-19,1194,1898,11388,0.6290832455216017,189,Deaseaed,Yes,No
All,All,All,2024-10-20,1162,2055,4110,0.5654501216545013,205,Expired CC,Yes,Yes
All,All,All,2024-10-21,1049,725,2175,1.446896551724138,72,Deaseaed,No,Yes
All,All,All,2024-10-22,1056,321,1284,3.289719626168224,32,Expired CC,Yes,No
All,All,All,2024-10-23,1374,2992,5984,0.4592245989304813,299,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1156,1353,5412,0.8543976348854397,135,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1463,801,2403,1.8264669163545568,80,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1411,1240,7440,1.1379032258064516,124,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1381,2729,5458,0.5060461707585197,272,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1481,2917,17502,0.5077134041823792,291,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1232,1993,19930,0.6181635725037632,199,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1341,204,1632,6.573529411764706,20,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1043,2955,29550,0.35296108291032147,295,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1156,1353,5412,0.8543976348854397,135,Expired CC,Yes,No
All,All,All,2024-10-17,1463,801,2403,1.8264669163545568,80,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1411,1240,7440,1.1379032258064516,124,Expired CC,No,Yes
All,All,All,2024-10-19,1381,2729,5458,0.5060461707585197,272,Deaseaed,Yes,No
All,All,All,2024-10-20,1481,2917,17502,0.5077134041823792,291,Expired CC,Yes,Yes
All,All,All,2024-10-21,1232,1993,19930,0.6181635725037632,199,Deaseaed,No,Yes
All,All,All,2024-10-22,1341,204,1632,6.573529411764706,20,Expired CC,Yes,No
